"id","created_at","json_response"
574,2023-05-14 19:58:24.991 -0300,"{""id"":""IIAJOW"" , ""amount"":""1899.05"" , ""cache-control"":""1""}"
746,2023-05-15 07:23:42.364 -0300,"{""id"":""RI2RDZ"" , ""amount"":""723.41"" , ""cache-control"":""1""}"
749,2023-05-15 07:35:21.597 -0300,"{""id"":""7ESV3W"" , ""amount"":""1479.41"" , ""cache-control"":""1""}"
750,2023-05-15 07:35:23.465 -0300,"{""id"":""X6FULU"" , ""amount"":""259.66"" , ""cache-control"":""1""}"
752,2023-05-15 07:39:58.632 -0300,"{""id"":""TW4N0N"" , ""amount"":""2365.61"" , ""cache-control"":""1""}"
763,2023-05-15 08:16:20.126 -0300,"{""id"":""4XL1QF"" , ""amount"":""572.19"" , ""cache-control"":""1""}"
770,2023-05-15 08:26:51.418 -0300,"{""id"":""A0NTW6"" , ""amount"":""1583.81"" , ""cache-control"":""1""}"
779,2023-05-15 08:38:21.956 -0300,"{""id"":""3HL3WU"" , ""amount"":""3147.00"" , ""cache-control"":""1""}"
784,2023-05-15 08:44:25.209 -0300,"{""id"":""9SLYPT"" , ""amount"":""2007.31"" , ""cache-control"":""1""}"
787,2023-05-15 08:48:54.373 -0300,"{""id"":""DLRTDV"" , ""amount"":""1167.20"" , ""cache-control"":""1""}"
792,2023-05-15 08:53:04.669 -0300,"{""id"":""RC4DRH"" , ""amount"":""224.36"" , ""cache-control"":""1""}"
795,2023-05-15 08:56:45.600 -0300,"{""id"":""QA90CB"" , ""amount"":""322.64"" , ""cache-control"":""1""}"
797,2023-05-15 09:02:23.444 -0300,"{""id"":""7NF6GG"" , ""amount"":""1107.35"" , ""cache-control"":""1""}"
806,2023-05-15 09:10:22.059 -0300,"{""id"":""LOPWMQ"" , ""amount"":""1144.53"" , ""cache-control"":""1""}"
826,2023-05-15 09:33:41.470 -0300,"{""id"":""3TI0JL"" , ""amount"":""2007.31"" , ""cache-control"":""1""}"
833,2023-05-15 09:43:57.885 -0300,"{""id"":""H79VR2"" , ""amount"":""1097.16"" , ""cache-control"":""1""}"
854,2023-05-15 10:00:10.638 -0300,"{""id"":""IJLPD4"" , ""amount"":""1992.54"" , ""cache-control"":""1""}"
868,2023-05-15 10:21:34.059 -0300,"{""id"":""ZRBR3B"" , ""amount"":""1223.43"" , ""cache-control"":""1""}"
877,2023-05-15 10:28:27.288 -0300,"{""id"":""NOQ58N"" , ""amount"":""1388.95"" , ""cache-control"":""1""}"
879,2023-05-15 10:31:00.189 -0300,"{""id"":""9YG4LZ"" , ""amount"":""1899.05"" , ""cache-control"":""1""}"
891,2023-05-15 10:47:51.581 -0300,"{""id"":""AB2YLH"" , ""amount"":""5084.24"" , ""cache-control"":""1""}"
896,2023-05-15 10:52:27.471 -0300,"{""id"":""XC5D7X"" , ""amount"":""1455.21"" , ""cache-control"":""1""}"
904,2023-05-15 10:58:46.605 -0300,"{""id"":""I28E0I"" , ""amount"":""4817.37"" , ""cache-control"":""1""}"
915,2023-05-15 11:07:15.656 -0300,"{""id"":""2EFK4X"" , ""amount"":""1992.54"" , ""cache-control"":""1""}"
917,2023-05-15 11:09:02.501 -0300,"{""id"":""1MFZS4"" , ""amount"":""3953.13"" , ""cache-control"":""1""}"
924,2023-05-15 11:17:31.106 -0300,"{""id"":""L8WQ3T"" , ""amount"":""2227.07"" , ""cache-control"":""1""}"
926,2023-05-15 11:19:00.663 -0300,"{""id"":""VR86ER"" , ""amount"":""1494.02"" , ""cache-control"":""1""}"
927,2023-05-15 11:19:11.607 -0300,"{""id"":""5THONN"" , ""amount"":""1583.81"" , ""cache-control"":""1""}"
978,2023-05-15 12:19:11.003 -0300,"{""id"":""6ZLCC3"" , ""amount"":""322.64"" , ""cache-control"":""1""}"
995,2023-05-15 12:45:34.301 -0300,"{""id"":""AA7RNU"" , ""amount"":""1281.70"" , ""cache-control"":""1""}"
1009,2023-05-15 13:10:44.549 -0300,"{""id"":""GRYNPG"" , ""amount"":""392.74"" , ""cache-control"":""1""}"
1013,2023-05-15 13:20:58.746 -0300,"{""id"":""W8BE1Z"" , ""amount"":""2170.01"" , ""cache-control"":""1""}"
1015,2023-05-15 13:23:37.443 -0300,"{""id"":""LGYN94"" , ""amount"":""1067.61"" , ""cache-control"":""1""}"
1018,2023-05-15 13:27:22.639 -0300,"{""id"":""53F762"" , ""amount"":""595.91"" , ""cache-control"":""1""}"
1031,2023-05-15 13:35:29.595 -0300,"{""id"":""DUCZNX"" , ""amount"":""1231.85"" , ""cache-control"":""1""}"
1068,2023-05-15 14:10:23.004 -0300,"{""id"":""DVDE39"" , ""amount"":""991.99"" , ""cache-control"":""1""}"
1079,2023-05-15 14:43:07.187 -0300,"{""id"":""RNZM2A"" , ""amount"":""2157.83"" , ""cache-control"":""1""}"
1125,2023-05-15 15:46:52.770 -0300,"{""id"":""47IX4V"" , ""amount"":""1486.10"" , ""cache-control"":""1""}"
